id,name,generation,effect,short_effect,pokemon
121,multitype,generation-iv,"If this Pokémon is holding an elemental Plate, its type and form change to match the Plate.

This Pokémon's held item, whether or not it is a Plate, cannot be taken by covet or thief, nor removed by knock off, nor traded by switcheroo or trick.  Covet, Thief, and Knock Off still inflict damage against this Pokémon.  Unlike with sticky hold, this Pokémon cannot use fling, Switcheroo, or Trick to lose its item itself, nor gain an item through Switcheroo or Trick if it does not have one.

This ability has no effect for any Pokémon other than arceus.  This ability cannot be traded with skill swap, nor copied with role play or trace, nor disabled with gastro acid, nor changed with worry seed.  This Pokémon cannot use Skill Swap or Role Play to lose its ability itself.  mold breaker cannot ignore this ability.

If a Pokémon Transforms into an Arceus with this ability, it will Transform into Arceus's default, normal-type form.  If the Transforming Pokémon is holding a Plate, this ability will then activate and change the Pokémon into the corresponding form.",Changes arceus's type and form to match its held Plate.,arceus
122,flower-gift,generation-iv,"Friendly Pokémon have 1.5× their Attack and Special Defense during strong sunlight if any friendly Pokémon has this ability.

Unlike forecast, multitype, and zen mode, this ability is not tied to its Pokémon's form change; cherrim will switch between its forms even if it loses this ability.  As such, this ability also works if obtained by a Pokémon other than Cherrim.",Increases friendly Pokémon's Attack and Special Defense to 1.5× during strong sunlight.,cherrim
123,bad-dreams,generation-iv,Opposing Pokémon take 1/8 of their maximum HP in damage after each turn while they are asleep.,Damages sleeping opponents for 1/8 their max HP after each turn.,darkrai
124,pickpocket,generation-v,"Whenever a move makes contact with this Pokémon, if it does not have a held item, it steals the attacker's held item.

This Pokémon cannot steal upon being knocked out.  It can steal if the attacker has a substitute, but cannot steal when its own Substitute is hit.  If a move hits multiple times, only the last hit triggers this ability.  If this Pokémon is wild, it cannot steal from a trained Pokémon.",Steals attacking Pokémon's held items on contact.,"sneasel, seedot, nuzleaf, shiftry, weavile, binacle, barbaracle, impidimp, morgrem, grimmsnarl, shroodle, tinkatink, tinkatuff, tinkaton, grimmsnarl-gmax, sneasel-hisui"
125,sheer-force,generation-v,"This Pokémon's moves with extra effects have 1.3× their power, but lose their extra effects.

An effect chance is a move's chance to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect. For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate.

Moves that lower the user's stats are unaffected.","Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects.","nidoqueen, nidoking, krabby, kingler, tauros, totodile, croconaw, feraligatr, steelix, makuhita, hariyama, mawile, trapinch, bagon, cranidos, rampardos, timburr, gurdurr, conkeldurr, darmanitan-standard, druddigon, rufflet, braviary, landorus-incarnate, toucannon, cufant, copperajah, kleavor, cetoddle, cetitan, darmanitan-zen, camerupt-mega, kingler-gmax, copperajah-gmax, braviary-hisui, squawkabilly-yellow-plumage, squawkabilly-white-plumage"
126,contrary,generation-v,"Whenever this Pokémon's stats would be raised, they are instead lowered by the same amount, and vice versa.",Inverts stat changes.,"shuckle, spinda, snivy, servine, serperior, inkay, malamar, fomantis, lurantis, enamorus-incarnate, lurantis-totem"
127,unnerve,generation-v,"Opposing Pokémon cannot eat held Berries while this Pokémon is in battle.

Affected Pokémon can still use bug bite or pluck to eat a target's Berry.",Prevents opposing Pokémon from eating held Berries.,"ekans, arbok, meowth, persian, aerodactyl, mewtwo, ursaring, houndour, houndoom, tyranitar, masquerain, vespiquen, joltik, galvantula, axew, fraxure, haxorus, litleo, pyroar, bewear, rookidee, corvisquire, corviknight, calyrex, ursaluna, meowth-galar, meowth-gmax, corviknight-gmax"
128,defiant,generation-v,"When any of this Pokémon's stats are lowered, its Attack rises by two stages.

If multiple stats are lowered at once, this ability takes effect with each stat lowered.",Raises Attack two stages upon having any stat lowered.,"mankey, primeape, farfetchd, purugly, pawniard, bisharp, braviary, tornadus-incarnate, thundurus-incarnate, passimian, obstagoon, falinks, annihilape, kingambit, ogerpon, zapdos-galar"
129,defeatist,generation-v,This Pokémon's Attack and Special Attack are halved when it has half its HP or less.,Halves Attack and Special Attack at 50% max HP or less.,"archen, archeops"
130,cursed-body,generation-v,Moves that hit this Pokémon have a 30% chance of being Disabled afterward.,Has a 30% chance of Disabling any move that hits the Pokémon.,"gengar, shuppet, banette, froslass, frillish, jellicent, sinistea, polteageist, dreepy, drakloak, dragapult, marowak-alola, marowak-totem, corsola-galar, gengar-gmax"
131,healer,generation-v,Friendly Pokémon next to this Pokémon in double and triple battles each have a 30% chance of being cured of any major status ailment after each turn.,Has a 30% chance of curing each adjacent ally of any major status ailment after each turn.,"chansey, bellossom, blissey, audino, alomomola, spritzee, aromatisse, hatenna, hattrem, hatterene, audino-mega, hatterene-gmax"
132,friend-guard,generation-v,"All friendly Pokémon take 0.75× as much direct damage from moves while this Pokémon is in battle.

This effect stacks if multiple allied Pokémon have it.",Decreases all direct damage taken by friendly Pokémon to 0.75×.,"clefairy, jigglypuff, cleffa, igglybuff, happiny, scatterbug, spewpa, vivillon, maushold-family-of-four, maushold-family-of-three"
133,weak-armor,generation-v,"Whenever a physical move hits this Pokémon, its Speed rises one stage and its Defense falls one stage.

This ability triggers on every hit of a multiple-hit move.",Raises Speed and lowers Defense by one stage each upon being hit by a physical move.,"onix, omanyte, omastar, kabuto, kabutops, slugma, magcargo, skarmory, roggenrola, boldore, dwebble, crustle, garbodor, vanillite, vanillish, vanilluxe, vullaby, mandibuzz, sinistea, polteageist, cursola, armarouge, ceruledge, corsola-galar, garbodor-gmax"
134,heavy-metal,generation-v,This Pokémon has double the usual weight for its species.,Doubles the Pokémon's weight.,"aron, lairon, aggron, bronzor, bronzong, cufant, copperajah, duraludon, copperajah-gmax, duraludon-gmax"
135,light-metal,generation-v,This Pokémon has half the usual weight for its species.,Halves the Pokémon's weight.,"scizor, beldum, metang, metagross, registeel, duraludon, duraludon-gmax"
136,multiscale,generation-v,This Pokémon takes half as much damage when it is hit having full HP.,Halves damage taken from full HP.,"dragonite, lugia"
137,toxic-boost,generation-v,This Pokémon has 1.5× its Attack when poisoned.,Increases Attack to 1.5× when poisoned.,zangoose
138,flare-boost,generation-v,This Pokémon has 1.5× its Special Attack when burned.,Increases Special Attack to 1.5× when burned.,"drifloon, drifblim"
139,harvest,generation-v,"After each turn, if the last item this Pokémon consumed was a Berry and it is not currently holding an item, it has a 50% chance of regaining that Berry, or a 100% chance during strong sunlight.",Has a 50% chance of restoring a used Berry after each turn if the Pokémon has held no items in the meantime.,"exeggcute, exeggutor, tropius, phantump, trevenant, smoliv, dolliv, arboliva, exeggutor-alola"
140,telepathy,generation-v,"This Pokémon does not take damage from friendly Pokémon's moves, including single-target moves aimed at it.",Protects against friendly Pokémon's damaging moves.,"wobbuffet, ralts, kirlia, gardevoir, meditite, medicham, wynaut, dialga, palkia, giratina-altered, munna, musharna, elgyem, beheeyem, noibat, noivern, oranguru, tapu-koko, tapu-lele, tapu-bulu, tapu-fini, blipbug, dottler, orbeetle, rabsca, orbeetle-gmax, dialga-origin, palkia-origin"
141,moody,generation-v,"After each turn, one of this Pokémon's stats at random rises two stages, and another falls one stage.

If a stat is already at 6 or -6 stages, it will not be chosen to be increased or decreased, respectively.",Raises a random stat two stages and lowers another one stage after each turn.,"remoraid, octillery, smeargle, snorunt, glalie, bidoof, bibarel, scovillain"
142,overcoat,generation-v,This Pokémon does not take damage from weather.,Protects against damage from weather.,"shellder, cloyster, pineco, forretress, shelgon, burmy, wormadam-plant, sewaddle, swadloon, leavanny, solosis, duosion, reuniclus, escavalier, shelmet, vullaby, mandibuzz, jangmo-o, hakamo-o, kommo-o, varoom, revavroom, wormadam-sandy, wormadam-trash, kommo-o-totem, enamorus-therian"
143,poison-touch,generation-v,"This Pokémon's contact moves have a 30% chance of poisoning the target with each hit.

This counts as an extra effect for the purposes of shield dust.  This ability takes effect before mummy.",Has a 30% chance of poisoning target Pokémon upon contact.,"grimer, muk, croagunk, toxicroak, seismitoad, skrelp, dragalge, sneasler, grafaiai, grimer-alola, muk-alola"
144,regenerator,generation-v,"This Pokémon regains 1/3 of its maximum HP when it is switched out for another Pokémon under any circumstances other than having fainted.

This ability does not take effect when a battle ends.",Heals for 1/3 max HP upon switching out.,"slowpoke, slowbro, tangela, slowking, corsola, ho-oh, tangrowth, audino, solosis, duosion, reuniclus, foongus, amoonguss, alomomola, mienfoo, mienshao, mareanie, toxapex, gossifleur, eldegoss, klawf, cyclizar, hydrapple, tornadus-therian, slowpoke-galar, slowbro-galar, slowking-galar"
145,big-pecks,generation-v,"This Pokémon's Defense cannot be lowered by other Pokémon.

This Pokémon can still be passed negative Defense modifiers through heart swap or guard swap.",Protects against Defense drops.,"pidgey, pidgeotto, pidgeot, chatot, pidove, tranquill, unfezant, ducklett, swanna, vullaby, mandibuzz, fletchling, rookidee, corvisquire, bombirdier"
146,sand-rush,generation-v,"This Pokémon's Speed is doubled during a sandstorm, and it does not take sandstorm damage, regardless of type.",Doubles Speed during a sandstorm.  Protects against sandstorm damage.,"sandshrew, sandslash, herdier, stoutland, drilbur, excadrill, lycanroc-midday, dracozolt, dracovish, houndstone"
147,wonder-skin,generation-v,Non-damaging moves have exactly 50% base accuracy against this Pokémon.,Lowers incoming non-damaging moves' base accuracy to exactly 50%.,"venomoth, skitty, delcatty, sigilyph, bruxish"
148,analytic,generation-v,"This Pokémon's moves have 1.3× their power when it moves last in a turn.

future sight and doom desire are unaffected.",Strengthens moves to 1.3× their power when moving last.,"magnemite, magneton, staryu, starmie, porygon, porygon2, magnezone, porygon-z, patrat, watchog, elgyem, beheeyem"
149,illusion,generation-v,"This Pokémon, upon being sent out, appears to have the species, nickname, and Poké Ball of the last Pokémon in the party that is able to battle.  This illusion breaks upon being hit by a damaging move.

Other damage, e.g. from weather or spikes, does not break the illusion, nor does damage done to a substitute.

If the party order becomes temporarily shuffled around as Pokémon are switched out in battle, this ability chooses the last Pokémon according to that shuffled order.",Takes the appearance of the last conscious party Pokémon upon being sent out until hit by a damaging move.,"zorua, zoroark, zorua-hisui, zoroark-hisui"
150,imposter,generation-v,This Pokémon transforms into a random opponent upon entering battle.  This effect is identical to the move transform.,Transforms upon entering battle.,ditto
151,infiltrator,generation-v,"This Pokémon's moves ignore light screen, reflect, and safeguard.","Bypasses light screen, reflect, and safeguard.","zubat, golbat, crobat, hoppip, skiploom, jumpluff, ninjask, seviper, spiritomb, cottonee, whimsicott, litwick, lampent, chandelure, espurr, meowstic-male, inkay, malamar, noibat, noivern, dreepy, drakloak, dragapult, bramblin, brambleghast, meowstic-female"
152,mummy,generation-v,"Whenever a contact move hits this Pokémon, the attacking Pokémon's ability changes to Mummy.

multitype is unaffected.  If a Pokémon with moxie knocks this Pokémon out, the former's ability will change without taking effect.",Changes attacking Pokémon's abilities to Mummy on contact.,"yamask, cofagrigus"
153,moxie,generation-v,"This Pokémon's Attack rises one stage upon knocking out another Pokémon, even a friendly Pokémon.

This ability does not take effect when the Pokémon indirectly causes another Pokémon to faint, e.g. through poison or spikes.

If this Pokémon knocks out a Pokémon with mummy, the former's ability will change without taking effect.",Raises Attack one stage upon KOing a Pokémon.,"pinsir, gyarados, heracross, mightyena, salamence, honchkrow, sandile, krokorok, krookodile, scraggy, scrafty, litleo, pyroar, quaxly, quaxwell, quaquaval"
154,justified,generation-v,"Whenever a dark-type move hits this Pokémon, its Attack rises one stage.

The move is not negated in any way.",Raises Attack one stage upon taking damage from a dark move.,"growlithe, arcanine, absol, lucario, gallade, cobalion, terrakion, virizion, keldeo-ordinary, keldeo-resolute"
155,rattled,generation-v,"This Pokémon's Speed rises one stage with each hit from a damaging dark-, ghost-, or bug-type move.","Raises Speed one stage upon being hit by a dark, ghost, or bug move.","magikarp, ledyba, sudowoodo, dunsparce, snubbull, granbull, poochyena, whismur, clamperl, bonsly, cubchoo, yamper, toxel, wiglett, wugtrio, dudunsparce-two-segment, gimmighoul, meowth-alola, persian-alola, basculin-white-striped, dudunsparce-three-segment"
156,magic-bounce,generation-v,"When this Pokémon is targeted by a move flagged as being reflectable, the move is redirected to its user.

All reflectable moves are non-damaging, and most non-damaging moves that target other Pokémon are reflectable.

A move reflected by this ability or magic coat cannot be reflected back.",Reflects most non-damaging moves back at their user.,"natu, xatu, espeon, hatenna, hattrem, hatterene, absol-mega, sableye-mega, diancie-mega, hatterene-gmax"
157,sap-sipper,generation-v,"Whenever a grass-type move hits this Pokémon, its Attack rises one stage, negating any other effect on it.","Absorbs grass moves, raising Attack one stage.","marill, azumarill, girafarig, stantler, miltank, azurill, blitzle, zebstrika, deerling, sawsbuck, bouffalant, skiddo, gogoat, goomy, sliggoo, goodra, drampa, wyrdeer, farigiraf, sliggoo-hisui, goodra-hisui"
158,prankster,generation-v,This Pokémon's non-damaging moves have their priority increased by one stage.,Raises non-damaging moves' priority by one stage.,"murkrow, sableye, volbeat, illumise, riolu, purrloin, liepard, cottonee, whimsicott, tornadus-incarnate, thundurus-incarnate, meowstic-male, klefki, impidimp, morgrem, grimmsnarl, shroodle, grafaiai, banette-mega, grimmsnarl-gmax"
159,sand-force,generation-v,"During a sandstorm, this Pokémon's rock-, ground-, and steel-type moves have 1.3× their base power.  This Pokémon does not take sandstorm damage, regardless of type.","Strengthens rock, ground, and steel moves to 1.3× their power during a sandstorm.  Protects against sandstorm damage.","diglett, dugtrio, nosepass, shellos, gastrodon, hippopotas, hippowdon, probopass, roggenrola, boldore, gigalith, drilbur, excadrill, landorus-incarnate, garchomp-mega, steelix-mega, diglett-alola, dugtrio-alola"
160,iron-barbs,generation-v,"Whenever a move makes contact with this Pokémon, the move's user takes 1/8 of its maximum HP in damage.

This ability functions identically to rough skin.",Damages attacking Pokémon for 1/8 their max HP on contact.,"ferroseed, ferrothorn, togedemaru, togedemaru-totem"
161,zen-mode,generation-v,"This Pokémon switches between Standard Mode and Zen Mode after each turn depending on its HP.  Below 50% of its maximum HP, it switches to Zen Mode, and at 50% or above, it switches to Standard Mode.

This Pokémon returns to Standard Mode upon leaving battle or losing this ability.  This ability has no effect if this Pokémon is not a darmanitan.","Changes darmanitan's form after each turn depending on its HP: Zen Mode below 50% max HP, and Standard Mode otherwise.","darmanitan-standard, darmanitan-zen, darmanitan-galar-standard, darmanitan-galar-zen"
162,victory-star,generation-v,"All friendly Pokémon's moves, including this Pokémon's own moves, have 1.1× their usual accuracy while this Pokémon is in battle.",Increases moves' accuracy to 1.1× for friendly Pokémon.,victini
163,turboblaze,generation-v,"This Pokémon's moves completely ignore abilities that could hinder or prevent their effect on the target.

For example, this Pokémon's moves ignore abilities that would fully negate them, such as water absorb; abilities that would prevent any of their effects, such as clear body, shell armor, or sticky hold; and abilities that grant any general protective benefit, such as simple, snow cloak, or thick fat.  If an ability could either hinder or help this Pokémon's moves, e.g. dry skin or unaware, the ability is ignored either way.

Abilities that do not fit this description, even if they could hinder moves in some other way, are not affected.  For example, cursed body only affects potential future uses of the move, while liquid ooze and shadow tag can only hinder a move's effect on the user.  This ablity cannot ignore type or form changes granted by abilities, for example color change or forecast; nor effects that were caused by abilities but are no longer tied to an ability, such as the rain from drizzle.  This ability cannot ignore multitype at all.

An ability ignored by this ability is only nullified while the move is being used.  For example, this Pokémon's moves can paralyze a Pokémon with limber, but Limber will activate and heal the paralysis immediately thereafter, and this Pokémon's spikes are not affected by this ability after they have been placed.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

This ability functions identically to mold breaker and teravolt.",Bypasses targets' abilities if they could hinder or prevent moves.,"reshiram, kyurem-white"
164,teravolt,generation-v,"This Pokémon's moves completely ignore abilities that could hinder or prevent their effect on the target.

For example, this Pokémon's moves ignore abilities that would fully negate them, such as water absorb; abilities that would prevent any of their effects, such as clear body, shell armor, or sticky hold; and abilities that grant any general protective benefit, such as simple, snow cloak, or thick fat.  If an ability could either hinder or help this Pokémon's moves, e.g. dry skin or unaware, the ability is ignored either way.

Abilities that do not fit this description, even if they could hinder moves in some other way, are not affected.  For example, cursed body only affects potential future uses of the move, while liquid ooze and shadow tag can only hinder a move's effect on the user.  This ablity cannot ignore type or form changes granted by abilities, for example color change or forecast; nor effects that were caused by abilities but are no longer tied to an ability, such as the rain from drizzle.  This ability cannot ignore multitype at all.

An ability ignored by this ability is only nullified while the move is being used.  For example, this Pokémon's moves can paralyze a Pokémon with limber, but Limber will activate and heal the paralysis immediately thereafter, and this Pokémon's spikes are not affected by this ability after they have been placed.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

This ability functions identically to mold breaker and turboblaze.",Bypasses targets' abilities if they could hinder or prevent moves.,"zekrom, kyurem-black"
165,aroma-veil,generation-vi,Protects allies against moves that affect their mental state.,Protects allies against moves that affect their mental state.,"spritzee, aromatisse, milcery, alcremie, lechonk, dachsbun, alcremie-gmax, oinkologne-female"
166,flower-veil,generation-vi,Protects friendly grass Pokémon from having their stats lowered by other Pokémon.,Protects friendly grass Pokémon from having their stats lowered by other Pokémon.,"flabebe, floette, florges, comfey, floette-eternal"
167,cheek-pouch,generation-vi,"Restores HP upon eating a Berry, in addition to the Berry's effect.","Restores HP upon eating a Berry, in addition to the Berry's effect.","bunnelby, diggersby, dedenne, skwovet, greedent, maushold-family-of-four, maushold-family-of-three"
168,protean,generation-vi,"Changes the bearer's type to match each move it uses.

The type change takes place just before the move is used.",Changes the bearer's type to match each move it uses.,"kecleon, froakie, frogadier, greninja, sprigatito, floragato, meowscarada"
169,fur-coat,generation-vi,Halves damage from physical attacks.,Halves damage from physical attacks.,"furfrou, persian-alola"
170,magician,generation-vi,Steals the target's held item when the bearer uses a damaging move.,Steals the target's held item when the bearer uses a damaging move.,"fennekin, braixen, delphox, klefki, hoopa, hoopa-unbound"
171,bulletproof,generation-vi,"Protects against bullet, ball, and bomb-based moves.","Protects against bullet, ball, and bomb-based moves.","chespin, quilladin, chesnaught, jangmo-o, hakamo-o, kommo-o, wooloo, dubwool, applin, ursaluna, kommo-o-totem"
172,competitive,generation-vi,Raises Special Attack by two stages upon having any stat lowered.,Raises Special Attack by two stages upon having any stat lowered.,"jigglypuff, wigglytuff, igglybuff, milotic, piplup, prinplup, empoleon, gothita, gothorita, gothitelle, boltund, wattrel, kilowattrel, meowstic-female, articuno-galar"
173,strong-jaw,generation-vi,Strengthens biting moves to 1.5× their power.,Strengthens biting moves to 1.5× their power.,"tyrunt, tyrantrum, yungoos, gumshoos, bruxish, chewtle, drednaw, boltund, dracovish, sharpedo-mega, gumshoos-totem, drednaw-gmax, avalugg-hisui"
174,refrigerate,generation-vi,Turns the bearer's normal-type moves into ice-type moves.  Moves changed by this ability have 1.3× their power.,Turns the bearer's normal moves into ice moves and strengthens them to 1.3× their power.,"amaura, aurorus, glalie-mega"
175,sweet-veil,generation-vi,Prevents friendly Pokémon from sleeping.,Prevents friendly Pokémon from sleeping.,"swirlix, slurpuff, cutiefly, ribombee, bounsweet, steenee, tsareena, milcery, alcremie, ribombee-totem, alcremie-gmax"
176,stance-change,generation-vi,"Changes aegislash to Blade Forme before using a damaging move, or Shield Forme before using kings shield.","Changes aegislash to Blade Forme before using a damaging move, or Shield Forme before using kings shield.","aegislash-shield, aegislash-blade"
177,gale-wings,generation-vi,Raises flying moves' priority by one stage.,Raises flying moves' priority by one stage.,"fletchling, fletchinder, talonflame"
178,mega-launcher,generation-vi,Strengthens aura and pulse moves to 1.5× their power.,Strengthens aura and pulse moves to 1.5× their power.,"clauncher, clawitzer, blastoise-mega"
179,grass-pelt,generation-vi,Boosts Defense while grassy terrain is in effect.,Boosts Defense while grassy terrain is in effect.,"skiddo, gogoat"
180,symbiosis,generation-vi,Passes the bearer's held item to an ally when the ally uses up its item.,Passes the bearer's held item to an ally when the ally uses up its item.,"flabebe, floette, florges, oranguru, floette-eternal"
181,tough-claws,generation-vi,Strengthens moves that make contact to 1.33× their power.,Strengthens moves that make contact to 1.33× their power.,"binacle, barbaracle, perrserker, charizard-mega-x, aerodactyl-mega, metagross-mega, lycanroc-dusk, meowth-galar"
182,pixilate,generation-vi,Turns the bearer's normal-type moves into fairy moves.  Moves changed by this ability have 1.3× their power.,Turns the bearer's normal moves into fairy moves and strengthens them to 1.3× their power.,"sylveon, gardevoir-mega, altaria-mega"
183,gooey,generation-vi,Lowers attacking Pokémon's Speed by one stage on contact.,Lowers attacking Pokémon's Speed by one stage on contact.,"goomy, sliggoo, goodra, wiglett, wugtrio, sliggoo-hisui, goodra-hisui"
184,aerilate,generation-vi,Turns the bearer's normal-type moves into flying-type moves.  Moves changed by this ability have 1.3× their power.,Turns the bearer's normal moves into flying moves and strengthens them to 1.3× their power.,"pinsir-mega, salamence-mega"
185,parental-bond,generation-vi,Lets the bearer hit twice with damaging moves.  The second hit has half power.,Lets the bearer hit twice with damaging moves.  The second hit has half power.,kangaskhan-mega
186,dark-aura,generation-vi,Strengthens dark moves for all friendly and opposing Pokémon.,Strengthens dark moves to 1.33× their power for all friendly and opposing Pokémon.,yveltal
187,fairy-aura,generation-vi,Strengthens fairy moves for all friendly and opposing Pokémon.,Strengthens fairy moves to 1.33× their power for all friendly and opposing Pokémon.,xerneas
188,aura-break,generation-vi,"While this Pokémon is on the field, dark aura and fairy aura weaken moves of their respective types to 2/3 their power, rather than strengthening them.",Makes dark aura and fairy aura weaken moves of their respective types.,"zygarde-50, zygarde-10"
189,primordial-sea,generation-vi,"When this Pokémon enters battle or gains this ability, the weather becomes heavy rain.  Heavy rain has all the properties of rain dance and also causes damaging Fire moves to fail.

Heavy rain ends when this Pokémon leaves battle or loses this ability, or when this ability is nullified.  The weather cannot otherwise be changed except by the effects of delta stream and desolate land.

air lock and cloud nine will prevent the effects of heavy rain, including allowing Fire moves to work, but will not allow the weather to be changed.","Creates heavy rain, which has all the properties of Rain Dance, cannot be replaced, and causes damaging Fire moves to fail.",kyogre-primal
190,desolate-land,generation-vi,"When this Pokémon enters battle or gains this ability, the weather becomes extremely harsh sunlight.  Extremely harsh sunlight has all the properties of sunny day and also causes damaging Water moves to fail.

Extremely harsh sunlight ends when this Pokémon leaves battle or loses this ability, or when this ability is nullified.  The weather cannot otherwise be changed except by the effects of delta stream and primordial sea.

air lock and cloud nine will prevent the effects of extremely harsh sunlight, including allowing Water moves to work, but will not allow the weather to be changed.","Creates extremely harsh sunlight, which has all the properties of Sunny Day, cannot be replaced, and causes damaging Water moves to fail.",groudon-primal
191,delta-stream,generation-vi,"When this Pokémon enters battle or gains this ability, the weather becomes a mysterious air current.  A mysterious air current causes moves to not be super effective against Flying; they do neutral damage instead.  anticipation and stealth rock are not affected.

The mysterious air current ends when this Pokémon leaves battle or loses this ability, or when this ability is nullified.  The weather cannot otherwise be changed except by the effects of desolate land and primordial sea.

air lock and cloud nine will prevent the effect of a mysterious air current, but will not allow the weather to be changed.","Creates a mysterious air current, which cannot be replaced and causes moves to never be super effective against Flying Pokémon.",rayquaza-mega
192,stamina,generation-vii,Raises this Pokémon's Defense by one stage when it takes damage from a move.,Raises this Pokémon's Defense by one stage when it takes damage from a move.,"mudbray, mudsdale, archaludon"
193,wimp-out,generation-vii,"After this Pokémon is hit by a move, if that move caused this Pokémon's HP to drop below half, it switches out.",This Pokémon automatically switches out when its HP drops below half.,wimpod
194,emergency-exit,generation-vii,"After this Pokémon is hit by a move, if that move caused this Pokémon's HP to drop below half, it switches out.",This Pokémon automatically switches out when its HP drops below half.,golisopod
195,water-compaction,generation-vii,Raises this Pokémon's Defense by two stages when it's hit by a Water move.,Raises this Pokémon's Defense by two stages when it's hit by a Water move.,"sandygast, palossand"
196,merciless,generation-vii,This Pokémon's moves critical hit against poisoned targets.,This Pokémon's moves critical hit against poisoned targets.,"mareanie, toxapex"
197,shields-down,generation-vii,"When this Pokémon enters battle and at the end of each turn, if its HP is 50% or above, it changes into Meteor Form; otherwise, it changes into Core Form.  In Meteor Form, it cannot be given a major status ailment (though existing ones are not cured), cannot become drowsy from yawn, and cannot use rest (which will simply fail).

This ability cannot be copied, replaced, or nullified.  This ability only takes effect for Minior.",Transforms this Minior between Core Form and Meteor Form.  Prevents major status ailments and drowsiness while in Meteor Form.,"minior-red-meteor, minior-orange-meteor, minior-yellow-meteor, minior-green-meteor, minior-blue-meteor, minior-indigo-meteor, minior-violet-meteor, minior-red, minior-orange, minior-yellow, minior-green, minior-blue, minior-indigo, minior-violet"
198,stakeout,generation-vii,This Pokémon's moves have double power against Pokémon that switched in this turn.,This Pokémon's moves have double power against Pokémon that switched in this turn.,"yungoos, gumshoos, nickit, thievul, tarountula, spidops, maschiff, mabosstiff, gumshoos-totem"
199,water-bubble,generation-vii,"When this Pokémon is hit by a Fire move, the damage is halved.  When this Pokémon uses a Water move, the power is doubled. This Pokémon cannot be burned, and if it becomes burned, the burn is immediately cured.","Halves damage from Fire moves, doubles damage of Water moves, and prevents burns.","dewpider, araquanid, araquanid-totem"
200,steelworker,generation-vii,This Pokémon's Steel moves have 1.5× power.,This Pokémon's Steel moves have 1.5× power.,dhelmise
201,berserk,generation-vii,"Whenever this Pokémon takes damage from a move that causes its HP to drop below 50%, its Special Attack rises by one stage.",Raises this Pokémon's Special Attack by one stage every time its HP drops below half.,"drampa, moltres-galar"
202,slush-rush,generation-vii,"During Hail, this Pokémon has double Speed.","During Hail, this Pokémon has double Speed.","cubchoo, beartic, arctozolt, arctovish, cetitan, sandshrew-alola, sandslash-alola"
203,long-reach,generation-vii,A move used by this Pokémon will not make contact.,This Pokémon's moves do not make contact.,"rowlet, dartrix, decidueye"
204,liquid-voice,generation-vii,"When this Pokémon uses a move that is sound-based, that move's type is Water.",Sound-based moves become Water-type.,"popplio, brionne, primarina"
205,triage,generation-vii,This Pokémon's healing moves have their priority increased by 3.,This Pokémon's healing moves have their priority increased by 3.,comfey
206,galvanize,generation-vii,"When this Pokémon uses a Normal moves, that move is Electric its power is 1.2×.",This Pokémon's Normal moves are Electric and have their power increased to 1.2×.,"geodude-alola, graveler-alola, golem-alola"
207,surge-surfer,generation-vii,Doubles this Pokémon's Speed on Electric Terrain.,Doubles this Pokémon's Speed on Electric Terrain.,raichu-alola
208,schooling,generation-vii,"If this Pokémon is a wishiwashi and level 20 or above, then when it enters battle and at the start of each turn, it becomes Schooling Form if its HP is 25% or higher and Solo Form otherwise.

This ability cannot be replaced, copied, or nullified.",Wishiwashi becomes Schooling Form when its HP is 25% or higher.,"wishiwashi-solo, wishiwashi-school"
209,disguise,generation-vii,"If this Pokémon is in its Disguised Form and takes damage from a move, it switches to its Busted Form and the damage is prevented.  Other effects are not prevented.

This ability cannot be copied or replaced.  This ability only takes effect for Mimikyu.",Prevents the first instance of battle damage.,"mimikyu-disguised, mimikyu-busted, mimikyu-totem-disguised, mimikyu-totem-busted"
210,battle-bond,generation-vii,"Transforms this Pokémon into Ash-Greninja after fainting an opponent.  Water Shuriken's power is 20 and always hits three times.

This ability cannot be copied or replaced.  This ability only takes effect for Greninja.",Transforms this Pokémon into Ash-Greninja after fainting an opponent.  Water Shuriken's power is 20 and always hits three times.,"greninja-battle-bond, greninja-ash"
211,power-construct,generation-vii,"Transforms 10% or 50% Zygarde into Complete Forme when its HP is below 50%.

This ability cannot be copied or replaced.  This ability only takes effect for Zygarde.",Transforms 10% or 50% Zygarde into Complete Forme when its HP is below 50%.,"zygarde-10-power-construct, zygarde-50-power-construct, zygarde-complete"
212,corrosion,generation-vii,This Pokémon's moves and item ignore the usual immunity of Poison and Steel Pokémon when attempting to inflict poison.,This Pokémon can inflict poison on Poison and Steel Pokémon.,"salandit, salazzle, glimmet, glimmora, salazzle-totem"
213,comatose,generation-vii,This Pokémon always acts as though it were Asleep.  It cannot be given another status ailment; it's unaffected by yawn; it can use sleep talk; and so on.,This Pokémon always  acts as though it were Asleep.,komala
214,queenly-majesty,generation-vii,"When an opposing Pokémon attempts to use a move that targets this Pokémon or an ally, and that move has priority, it will fail.",Opposing Pokémon cannot use priority attacks.,tsareena
